Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.49,0.11
HTTP Connection Overhead (ms),0.03,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.49,0.11
HTTP Connection Reused (ratio),0.94,0.00,1.00,0.00,0.45,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.24
HTTP Data Received (KB),0.88,0.84,0.94,0.84,0.85,0.86,0.86,0.88,0.89,0.91,0.91,0.93,0.02
HTTP Data Sent (KB),347.03,282.87,502.34,282.90,283.02,283.07,283.18,318.54,332.24,502.24,502.30,502.33,80.09
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),50409.90,43407.40,55465.42,43556.68,43755.19,43793.17,44744.61,52871.06,54241.81,54504.84,55333.62,55465.24,4559.48
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.17,0.12,0.72,0.12,0.13,0.13,0.13,0.14,0.15,0.17,0.45,0.70,0.13
HTTP Total Time (ms),50409.92,43407.39,55465.40,43556.67,43755.18,43793.16,44744.60,52871.05,54241.81,54504.89,55333.62,55465.23,4559.50
HTTP Waiting (TTFB) (ms),50409.72,43407.24,55465.26,43556.52,43755.05,43793.02,44744.46,52870.89,54241.66,54504.63,55333.49,55465.10,4559.45
Image Latency (ms/image),50409.95,43407.45,55465.46,43556.73,43755.24,43793.22,44744.66,52871.11,54241.86,54504.89,55333.67,55465.29,4559.48
Image Throughput (images/sec),0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.00
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Output Token Count (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Request Latency (ms),50409.95,43407.45,55465.46,43556.73,43755.24,43793.22,44744.66,52871.11,54241.86,54504.89,55333.67,55465.29,4559.48
Usage Completion Tokens (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,0.00

Metric,Value
Benchmark Duration (sec),651.85
Maximum Response Timestamp (ns),1777845209587441408.00
Minimum Request Timestamp (ns),1777844557739190272.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),4.91
Request Count,50.00
Request Throughput (requests/sec),0.08
Total Input Sequence Length (tokens),44750.00
Total Output Sequence Length (tokens),3200.00
Total Output Tokens (tokens),3200.00
Total Token Throughput (tokens/sec),73.56
Total Usage Completion Tokens (tokens),3200.00
Total Usage Prompt Tokens (tokens),44750.00
Total Usage Total Tokens (tokens),47950.00
