Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.52,0.12
HTTP Connection Overhead (ms),0.03,0.00,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.52,0.12
HTTP Connection Reused (ratio),0.94,0.00,1.00,0.00,0.45,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.24
HTTP Data Received (KB),1.18,1.10,1.25,1.11,1.14,1.14,1.16,1.18,1.20,1.21,1.23,1.25,0.03
HTTP Data Sent (KB),1109.70,936.72,1586.72,936.75,936.82,936.87,938.99,939.39,1087.91,1586.43,1586.47,1586.63,246.78
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),8852.09,7811.92,9367.31,7838.12,8599.02,8857.57,8875.16,8877.97,8881.49,8930.97,9074.33,9260.62,234.75
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.21,0.14,0.76,0.14,0.15,0.15,0.16,0.18,0.20,0.23,0.50,0.75,0.13
HTTP Total Time (ms),8852.11,7811.91,9367.29,7838.11,8599.24,8857.55,8875.15,8877.96,8881.47,8930.96,9074.54,9260.81,234.76
HTTP Waiting (TTFB) (ms),8851.87,7811.76,9367.05,7837.93,8598.55,8857.36,8874.96,8877.79,8881.30,8930.76,9073.84,9260.14,234.72
Image Latency (ms/image),8852.14,7811.97,9367.36,7838.17,8599.08,8857.61,8875.21,8878.02,8881.55,8931.02,9074.39,9260.68,234.75
Image Throughput (images/sec),0.11,0.11,0.13,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.12,0.13,0.00
Input Sequence Length (tokens),1940.00,1940.00,1940.00,1940.00,1940.00,1940.00,1940.00,1940.00,1940.00,1940.00,1940.00,1940.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Request Latency (ms),8852.14,7811.97,9367.36,7838.17,8599.08,8857.61,8875.21,8878.02,8881.55,8931.02,9074.39,9260.68,234.75
Usage Completion Tokens (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Usage Prompt Tokens (tokens),1940.00,1940.00,1940.00,1940.00,1940.00,1940.00,1940.00,1940.00,1940.00,1940.00,1940.00,1940.00,0.00
Usage Total Tokens (tokens),2068.00,2068.00,2068.00,2068.00,2068.00,2068.00,2068.00,2068.00,2068.00,2068.00,2068.00,2068.00,0.00

Metric,Value
Benchmark Duration (sec),114.52
Maximum Response Timestamp (ns),1777799250432937216.00
Minimum Request Timestamp (ns),1777799135909159424.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),55.88
Request Count,50.00
Request Throughput (requests/sec),0.44
Total Input Sequence Length (tokens),97000.00
Total Output Sequence Length (tokens),6400.00
Total Output Tokens (tokens),6400.00
Total Token Throughput (tokens/sec),902.87
Total Usage Completion Tokens (tokens),6400.00
Total Usage Prompt Tokens (tokens),97000.00
Total Usage Total Tokens (tokens),103400.00
