Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.49,0.11
HTTP Connection Overhead (ms),0.03,0.00,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.49,0.11
HTTP Connection Reused (ratio),0.94,0.00,1.00,0.00,0.45,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.24
HTTP Data Received (KB),0.95,0.76,1.20,0.77,0.78,0.78,0.87,0.93,1.03,1.11,1.15,1.18,0.12
HTTP Data Sent (KB),2866.57,2270.36,4145.38,2270.43,2270.57,2270.63,2301.00,2392.25,2865.97,4145.35,4145.36,4145.38,746.21
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),33791.20,21302.28,149715.84,21302.78,23792.15,26837.01,26962.15,27223.63,27355.42,27530.88,88694.09,145790.88,27747.54
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.35,0.23,1.53,0.23,0.24,0.24,0.25,0.28,0.32,0.39,0.83,1.22,0.22
HTTP Total Time (ms),33791.21,21302.27,149715.83,21302.77,23792.13,26837.00,26962.13,27223.62,27355.41,27530.87,88694.07,145790.87,27747.53
HTTP Waiting (TTFB) (ms),33790.84,21302.03,149715.53,21302.50,23791.86,26836.70,26961.87,27223.35,27355.08,27530.57,88693.76,145790.56,27747.54
Image Latency (ms/image),33791.26,21302.33,149715.89,21302.85,23792.20,26837.08,26962.20,27223.69,27355.49,27530.95,88694.15,145790.93,27747.54
Image Throughput (images/sec),0.04,0.01,0.05,0.01,0.02,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.01
Input Sequence Length (tokens),5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Output Token Count (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Request Latency (ms),33791.26,21302.33,149715.89,21302.85,23792.20,26837.08,26962.20,27223.69,27355.49,27530.95,88694.15,145790.93,27747.54
Usage Completion Tokens (tokens),128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,128.00,0.00
Usage Prompt Tokens (tokens),5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,5900.00,0.00
Usage Total Tokens (tokens),6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,6028.00,0.00

Metric,Value
Benchmark Duration (sec),469.98
Maximum Response Timestamp (ns),1777879813080706304.00
Minimum Request Timestamp (ns),1777879343103182592.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),13.62
Request Count,50.00
Request Throughput (requests/sec),0.11
Total Input Sequence Length (tokens),295000.00
Total Output Sequence Length (tokens),6400.00
Total Output Tokens (tokens),6400.00
Total Token Throughput (tokens/sec),641.31
Total Usage Completion Tokens (tokens),6400.00
Total Usage Prompt Tokens (tokens),295000.00
Total Usage Total Tokens (tokens),301400.00
