Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.09
HTTP Connection Overhead (ms),0.02,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.09
HTTP Connection Reused (ratio),0.96,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.20
HTTP Data Received (KB),0.89,0.79,0.94,0.81,0.85,0.87,0.88,0.89,0.90,0.91,0.92,0.93,0.02
HTTP Data Sent (KB),369.12,282.99,502.36,283.01,283.04,283.11,283.23,325.31,502.12,502.25,502.29,502.33,92.98
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),7069.89,5098.35,9448.32,5098.42,6683.57,6713.47,6848.61,6947.34,7076.85,7244.63,9447.71,9448.20,800.37
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.16,0.12,0.71,0.12,0.12,0.12,0.13,0.13,0.14,0.16,0.20,0.68,0.11
HTTP Total Time (ms),7069.90,5098.34,9448.77,5098.40,6683.56,6713.46,6848.60,6947.32,7076.85,7244.62,9447.78,9448.57,800.42
HTTP Waiting (TTFB) (ms),7069.72,5098.22,9447.84,5098.28,6683.42,6713.33,6848.46,6947.19,7076.72,7244.49,9447.26,9447.72,800.29
Image Latency (ms/image),7069.94,5098.39,9448.40,5098.46,6683.61,6713.52,6848.65,6947.39,7076.90,7244.67,9447.77,9448.27,800.37
Image Throughput (images/sec),0.14,0.11,0.20,0.11,0.11,0.14,0.14,0.14,0.15,0.15,0.15,0.20,0.02
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Output Token Count (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Request Latency (ms),7069.94,5098.39,9448.40,5098.46,6683.61,6713.52,6848.65,6947.39,7076.90,7244.67,9447.77,9448.27,800.37
Usage Completion Tokens (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,0.00

Metric,Value
Benchmark Duration (sec),90.95
Maximum Response Timestamp (ns),1777849741529250048.00
Minimum Request Timestamp (ns),1777849650581442048.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),35.19
Request Count,50.00
Request Throughput (requests/sec),0.55
Total Input Sequence Length (tokens),44750.00
Total Output Sequence Length (tokens),3200.00
Total Output Tokens (tokens),3200.00
Total Token Throughput (tokens/sec),527.23
Total Usage Completion Tokens (tokens),3200.00
Total Usage Prompt Tokens (tokens),44750.00
Total Usage Total Tokens (tokens),47950.00
