Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.09
HTTP Connection Overhead (ms),0.02,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.09
HTTP Connection Reused (ratio),0.96,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.20
HTTP Data Received (KB),0.89,0.83,0.95,0.84,0.85,0.86,0.87,0.89,0.90,0.92,0.93,0.94,0.02
HTTP Data Sent (KB),348.93,282.88,502.39,282.94,283.07,283.13,318.19,318.45,332.27,502.24,502.31,502.37,78.47
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),4364.41,3871.25,4731.58,3872.64,4158.53,4252.09,4359.83,4361.30,4399.76,4473.08,4597.02,4670.34,138.85
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.16,0.12,0.71,0.12,0.12,0.12,0.13,0.13,0.14,0.15,0.20,0.69,0.11
HTTP Total Time (ms),4364.42,3871.24,4731.56,3872.63,4158.52,4252.52,4359.82,4361.28,4399.75,4473.11,4597.01,4670.33,138.85
HTTP Waiting (TTFB) (ms),4364.25,3871.11,4731.38,3872.50,4158.39,4251.42,4359.70,4361.16,4399.62,4472.45,4596.88,4670.17,138.85
Image Latency (ms/image),4364.46,3871.29,4731.64,3872.68,4158.57,4252.15,4359.87,4361.34,4399.80,4473.14,4597.06,4670.39,138.85
Image Throughput (images/sec),0.23,0.21,0.26,0.21,0.22,0.22,0.23,0.23,0.23,0.24,0.24,0.26,0.01
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Output Token Count (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Request Latency (ms),4364.46,3871.29,4731.64,3872.68,4158.57,4252.15,4359.87,4361.34,4399.80,4473.14,4597.06,4670.39,138.85
Usage Completion Tokens (tokens),64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,64.00,0.00
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,959.00,0.00

Metric,Value
Benchmark Duration (sec),56.50
Maximum Response Timestamp (ns),1777798326762781696.00
Minimum Request Timestamp (ns),1777798270264877312.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),56.64
Request Count,50.00
Request Throughput (requests/sec),0.88
Total Input Sequence Length (tokens),44750.00
Total Output Sequence Length (tokens),3200.00
Total Output Tokens (tokens),3200.00
Total Token Throughput (tokens/sec),848.70
Total Usage Completion Tokens (tokens),3200.00
Total Usage Prompt Tokens (tokens),44750.00
Total Usage Total Tokens (tokens),47950.00
