22:29:43.499 INFO     Starting AIPerf System (cli_runner.py:75)
22:29:43.689 INFO     Registered Worker Manager (id: 'worker_manager') (system_controller.py:340)
22:29:43.728 INFO     GPU telemetry export enabled: artifacts/p3/med_res/Qwen_Qwen2-VL-2B-Instruct-encoder-only-openai-chat_concurrency32_20260429_222120/gpu_telemetry_export.jsonl (jsonl_writer.py:53)
22:29:43.734 INFO     Record metrics export enabled: artifacts/p3/med_res/Qwen_Qwen2-VL-2B-Instruct-encoder-only-openai-chat_concurrency32_20260429_222120/profile_export.jsonl (record_export_results_processor.py:53)
22:29:43.738 INFO     Server Metrics: Discovered 1 endpoints: ['http://localhost:8000/metrics'] (manager.py:70)
22:29:43.829 INFO     Registered Timing Manager (id: 'timing_manager') (system_controller.py:340)
22:29:43.847 INFO     Registered Worker (id: 'worker_eb1b889e') (system_controller.py:340)
22:29:43.850 INFO     Registered Dataset Manager (id: 'dataset_manager') (system_controller.py:340)
22:29:43.851 INFO     Registered Record Processor (id: 'record_processor_fd08818f') (system_controller.py:340)
22:29:43.856 INFO     Registered Record Processor (id: 'record_processor_c7c2331e') (system_controller.py:340)
22:29:43.860 INFO     Registered Record Processor (id: 'record_processor_7ee7e14d') (system_controller.py:340)
22:29:43.862 INFO     Registered Records Manager (id: 'records_manager') (system_controller.py:340)
22:29:43.864 INFO     Registered Worker (id: 'worker_2fb9b042') (system_controller.py:340)
22:29:43.865 INFO     Registered Record Processor (id: 'record_processor_04bbf757') (system_controller.py:340)
22:29:43.867 INFO     Registered Worker (id: 'worker_ddaa05af') (system_controller.py:340)
22:29:43.867 INFO     Registered Worker (id: 'worker_4bc4c831') (system_controller.py:340)
22:29:43.869 INFO     Registered Worker (id: 'worker_7c9ce0a5') (system_controller.py:340)
22:29:43.870 INFO     Registered Record Processor (id: 'record_processor_3b4069d1') (system_controller.py:340)
22:29:43.872 INFO     Registered Worker (id: 'worker_e7d94f2a') (system_controller.py:340)
22:29:43.874 INFO     Registered Worker (id: 'worker_782be1ab') (system_controller.py:340)
22:29:43.879 INFO     Registered Worker (id: 'worker_36b32155') (system_controller.py:340)
22:29:43.884 INFO     Registered Worker (id: 'worker_9696523a') (system_controller.py:340)
22:29:43.886 INFO     Registered Worker (id: 'worker_eb74707e') (system_controller.py:340)
22:29:43.888 INFO     Registered Gpu Telemetry Manager (id: 'gpu_telemetry_manager') (system_controller.py:340)
22:29:43.889 INFO     Registered Server Metrics Manager (id: 'server_metrics_manager') (system_controller.py:340)
22:29:43.890 INFO     Registered Worker (id: 'worker_e00c85a7') (system_controller.py:340)
22:29:43.891 INFO     Registered Worker (id: 'worker_de1adf7d') (system_controller.py:340)
22:29:43.954 INFO     Registered Worker (id: 'worker_3ae22cc8') (system_controller.py:340)
22:29:43.955 INFO     Registered Record Processor (id: 'record_processor_2e6d5dad') (system_controller.py:340)
22:29:43.970 INFO     Registered Worker (id: 'worker_dc759e8d') (system_controller.py:340)
22:29:43.982 INFO     Registered Worker (id: 'worker_72c97ac9') (system_controller.py:340)
