Metric,avg,min,max,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Chunks Sent,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.47,0.11
HTTP Connection Overhead (ms),0.03,0.00,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.47,0.11
HTTP Connection Reused (ratio),0.94,0.00,1.00,0.00,0.45,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.24
HTTP Data Received (KB),4.40,2.58,5.55,2.96,3.40,3.58,3.78,4.47,4.98,5.28,5.38,5.50,0.69
HTTP Data Sent (KB),359.47,282.92,502.45,282.98,283.07,283.13,318.36,332.17,332.34,502.30,502.34,502.43,82.27
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),54617.58,53346.92,54890.05,53368.63,54601.77,54642.14,54644.31,54646.75,54683.98,54697.47,54784.15,54863.99,260.24
HTTP Receiving (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Sending (ms),0.17,0.12,0.69,0.12,0.12,0.13,0.13,0.13,0.14,0.17,0.47,0.68,0.13
HTTP Total Time (ms),54617.60,53346.91,54890.04,53368.61,54601.75,54642.12,54644.29,54646.74,54683.96,54697.46,54784.60,54864.19,260.26
HTTP Waiting (TTFB) (ms),54617.40,53346.77,54889.88,53368.48,54601.56,54641.98,54644.13,54646.61,54683.82,54697.32,54783.45,54863.57,260.21
Image Latency (ms/image),54617.63,53346.97,54890.09,53368.67,54601.82,54642.18,54644.36,54646.80,54684.02,54697.52,54784.21,54864.04,260.24
Image Throughput (images/sec),0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.00
Input Sequence Length (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Number of Images (images),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Output Token Count (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Request Latency (ms),54617.63,53346.97,54890.09,53368.67,54601.82,54642.18,54644.36,54646.80,54684.02,54697.52,54784.21,54864.04,260.24
Usage Completion Tokens (tokens),1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,1024.00,0.00
Usage Prompt Tokens (tokens),895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,895.00,0.00
Usage Total Tokens (tokens),1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,1919.00,0.00

Metric,Value
Benchmark Duration (sec),709.39
Maximum Response Timestamp (ns),1777805760250352896.00
Minimum Request Timestamp (ns),1777805050858926592.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),72.17
Request Count,50.00
Request Throughput (requests/sec),0.07
Total Input Sequence Length (tokens),44750.00
Total Output Sequence Length (tokens),51200.00
Total Output Tokens (tokens),51200.00
Total Token Throughput (tokens/sec),135.26
Total Usage Completion Tokens (tokens),51200.00
Total Usage Prompt Tokens (tokens),44750.00
Total Usage Total Tokens (tokens),95950.00
